"序号","产品名称","产品编码","型号","Slug","产品类别/系列","检查结果","主图字段","主图引用路径","实际匹配路径","数据文件","数据位置","建议动作"
"80","PVC管","","","","","未配置主图字段","","","",".local-backups/pvc-configurator-en-2026-07-17T13-20-39-973Z/pvc-tubing.ts | .local-backups/pvc-empty-initial-state-2026-07-17T13-03-44-886Z/pvc-tubing.ts | .local-backups/pvc-hide-product-name-2026-07-17T13-00-29-019Z/pvc-tubing.ts | data/products/configurator/pvc-tubing.ts",".local-backups/pvc-configurator-en-2026-07-17T13-20-39-973Z/pvc-tubing.ts 第 440 行 | .local-backups/pvc-empty-initial-state-2026-07-17T13-03-44-886Z/pvc-tubing.ts 第 440 行 | .local-backups/pvc-hide-product-name-2026-07-17T13-00-29-019Z/pvc-tubing.ts 第 440 行 | data/products/configurator/pvc-tubing.ts 第 440 行","确认该产品数据是否缺少主图字段；补图前暂不发布"
"81","Q20公端直通带阀快插接头","","Q2001-PMV-SACN","","","未配置主图字段","","","","reports/quick-connect-model-detail-setup-report.json","reports/quick-connect-model-detail-setup-report.json $.examples[0]","确认该产品数据是否缺少主图字段；补图前暂不发布"
"82","Q20公端直通带阀快插接头","","Q2001-PMV-SPPE","","","未配置主图字段","","","","reports/quick-connect-model-detail-setup-report.json","reports/quick-connect-model-detail-setup-report.json $.examples[1]","确认该产品数据是否缺少主图字段；补图前暂不发布"
"83","Q20公端直通不带阀快插接头","","Q2001-PMX-SACN","","","未配置主图字段","","","","reports/quick-connect-model-detail-setup-report.json","reports/quick-connect-model-detail-setup-report.json $.examples[2]","确认该产品数据是否缺少主图字段；补图前暂不发布"
"84","Q20公端直通不带阀快插接头","","Q2001-PMX-SPPE","","","未配置主图字段","","","","reports/quick-connect-model-detail-setup-report.json","reports/quick-connect-model-detail-setup-report.json $.examples[3]","确认该产品数据是否缺少主图字段；补图前暂不发布"
"85","Q20公端直通带阀快插接头","","Q2001-PNV-SACN","","","未配置主图字段","","","","reports/quick-connect-model-detail-setup-report.json","reports/quick-connect-model-detail-setup-report.json $.examples[4]","确认该产品数据是否缺少主图字段；补图前暂不发布"
"86","","","SA-U32-16F-PA-W","sa-u32-16f-pa-w","","主图字段为空","mainImage","","","reports/thread-to-barbed-detail-generation-report.json","reports/thread-to-barbed-detail-generation-report.json $.examples[3]","补充主图路径；补图前暂不发布"
"87","","","SA-U32-24F-PA-W","sa-u32-24f-pa-w","","主图字段为空","mainImage","","","reports/thread-to-barbed-detail-generation-report.json","reports/thread-to-barbed-detail-generation-report.json $.examples[2]","补充主图路径；补图前暂不发布"
"88","","","SA-U32-24F-PP-N","sa-u32-24f-pp-n","","主图字段为空","mainImage","","","reports/thread-to-barbed-detail-generation-report.json","reports/thread-to-barbed-detail-generation-report.json $.examples[0]","补充主图路径；补图前暂不发布"
"89","TPU Tubing","","","","","未配置主图字段","","","",".local-backups/remove-tpu-436075-2026-07-17T16-05-27-549Z/tpu-tubing.ts | .local-backups/remove-tpu-436075-20260718-001046/tpu-tubing.ts | .local-backups/remove-tpu-bu9b02004-2026-07-17T16-03-34-522Z/tpu-tubing.ts | .local-backups/tpu-align-pvc-2026-07-17T15-59-08-481Z/tpu-tubing.ts | .local-backups/tpu-column-flow-2026-07-17T15-46-53-884Z/tpu-tubing.ts | .local-backups/tpu-column-flow-v2-2026-07-17T15-48-49-068Z/tpu-tubing.ts | .local-backups/tpu-simplified-selection-2026-07-17T15-40-00-748Z/tpu-tubing.ts | .local-backups/tpu-simplified-v2-2026-07-17T15-43-35-079Z/tpu-tubing.ts | data/products/configurator/tpu-tubing.ts",".local-backups/remove-tpu-436075-2026-07-17T16-05-27-549Z/tpu-tubing.ts 第 308 行 | .local-backups/remove-tpu-436075-20260718-001046/tpu-tubing.ts 第 308 行 | .local-backups/remove-tpu-bu9b02004-2026-07-17T16-03-34-522Z/tpu-tubing.ts 第 308 行 | .local-backups/tpu-align-pvc-2026-07-17T15-59-08-481Z/tpu-tubing.ts 第 345 行 | .local-backups/tpu-column-flow-2026-07-17T15-46-53-884Z/tpu-tubing.ts 第 345 行 | .local-backups/tpu-column-flow-v2-2026-07-17T15-48-49-068Z/tpu-tubing.ts 第 345 行 | .local-backups/tpu-simplified-selection-2026-07-17T15-40-00-748Z/tpu-tubing.ts 第 319 行 | .local-backups/tpu-simplified-v2-2026-07-17T15-43-35-079Z/tpu-tubing.ts 第 319 行 | data/products/configurator/tpu-tubing.ts 第 293 行","确认该产品数据是否缺少主图字段；补图前暂不发布"
"90","TPU管","","","","","未配置主图字段","","","",".local-backups/remove-tpu-436075-2026-07-17T16-05-27-549Z/tpu-tubing.ts | .local-backups/remove-tpu-436075-20260718-001046/tpu-tubing.ts | .local-backups/remove-tpu-bu9b02004-2026-07-17T16-03-34-522Z/tpu-tubing.ts | .local-backups/tpu-align-pvc-2026-07-17T15-59-08-481Z/tpu-tubing.ts | .local-backups/tpu-column-flow-2026-07-17T15-46-53-884Z/tpu-tubing.ts | .local-backups/tpu-column-flow-v2-2026-07-17T15-48-49-068Z/tpu-tubing.ts | .local-backups/tpu-simplified-selection-2026-07-17T15-40-00-748Z/tpu-tubing.ts | .local-backups/tpu-simplified-v2-2026-07-17T15-43-35-079Z/tpu-tubing.ts | data/products/configurator/tpu-tubing.ts",".local-backups/remove-tpu-436075-2026-07-17T16-05-27-549Z/tpu-tubing.ts 第 216 行 | .local-backups/remove-tpu-436075-20260718-001046/tpu-tubing.ts 第 216 行 | .local-backups/remove-tpu-bu9b02004-2026-07-17T16-03-34-522Z/tpu-tubing.ts 第 216 行 | .local-backups/tpu-align-pvc-2026-07-17T15-59-08-481Z/tpu-tubing.ts 第 242 行 | .local-backups/tpu-column-flow-2026-07-17T15-46-53-884Z/tpu-tubing.ts 第 242 行 | .local-backups/tpu-column-flow-v2-2026-07-17T15-48-49-068Z/tpu-tubing.ts 第 242 行 | .local-backups/tpu-simplified-selection-2026-07-17T15-40-00-748Z/tpu-tubing.ts 第 227 行 | .local-backups/tpu-simplified-v2-2026-07-17T15-43-35-079Z/tpu-tubing.ts 第 227 行 | data/products/configurator/tpu-tubing.ts 第 201 行","确认该产品数据是否缺少主图字段；补图前暂不发布"
"91","方形二通内螺纹互转接头","","US-M6-05-AC-B","","","未配置主图字段","","","","reports/luer-female-thread-detail-generation-report.json","reports/luer-female-thread-detail-generation-report.json $.targets[1].samples[0]","确认该产品数据是否缺少主图字段；补图前暂不发布"
"92","方形二通内螺纹互转接头","","US-M6-10-AC-B","","","未配置主图字段","","","","reports/luer-female-thread-detail-generation-report.json","reports/luer-female-thread-detail-generation-report.json $.targets[1].samples[1]","确认该产品数据是否缺少主图字段；补图前暂不发布"
"93","方形二通内螺纹互转接头","","US-M6-15-AC-B","","","未配置主图字段","","","","reports/luer-female-thread-detail-generation-report.json","reports/luer-female-thread-detail-generation-report.json $.targets[1].samples[2]","确认该产品数据是否缺少主图字段；补图前暂不发布"
"94","","Код продукта","Модель:","","","图片文件不存在；未配置主图字段","gallery[0]","Галерея продукта","F:\WebsiteProjects\foreach-website-2026\data\products\detail\Галерея продукта | F:\WebsiteProjects\foreach-website-2026\data\products\detail\Галерея продукта.webp | F:\WebsiteProjects\foreach-website-2026\data\products\detail\Галерея продукта.png | F:\WebsiteProjects\foreach-website-2026\data\products\detail\Галерея продукта.jpg | F:\WebsiteProjects\foreach-website-2026\data\products\detail\Галерея продукта.jpeg","data/products/detail/hard-tube-fitting-detail.intl.ts | data/products/detail/product-detail.target.intl.ts","data/products/detail/hard-tube-fitting-detail.intl.ts 第 191 行 | data/products/detail/product-detail.target.intl.ts 第 51 行 | data/products/detail/product-detail.target.intl.ts 第 79 行","确认图片是否漏传、路径是否写错；无图产品暂不发布"
"95","Фитинг Q20","Код:","","","","未配置主图字段","","","","data/resources/fitting-replacement/fittings/quick-connect/q20/q20.page.intl.ts","data/resources/fitting-replacement/fittings/quick-connect/q20/q20.page.intl.ts 第 489 行","确认该产品数据是否缺少主图字段；补图前暂不发布"
"96","","제품 코드","모델:","","","图片文件不存在；未配置主图字段","gallery[0]","제품 이미지","F:\WebsiteProjects\foreach-website-2026\data\products\detail\제품 이미지 | F:\WebsiteProjects\foreach-website-2026\data\products\detail\제품 이미지.webp | F:\WebsiteProjects\foreach-website-2026\data\products\detail\제품 이미지.png | F:\WebsiteProjects\foreach-website-2026\data\products\detail\제품 이미지.jpg | F:\WebsiteProjects\foreach-website-2026\data\products\detail\제품 이미지.jpeg","components/selection-cart/SelectionCartProvider.tsx | data/products/detail/hard-tube-fitting-detail.intl.ts | data/products/detail/product-detail.target.intl.ts","components/selection-cart/SelectionCartProvider.tsx 第 86 行 | data/products/detail/hard-tube-fitting-detail.intl.ts 第 146 行 | data/products/detail/product-detail.target.intl.ts 第 50 行 | data/products/detail/product-detail.target.intl.ts 第 78 行","确认图片是否漏传、路径是否写错；无图产品暂不发布"
"97","Q20 퀵 커넥트 피팅","제품 코드:","","","","未配置主图字段","","","","data/resources/fitting-replacement/fittings/quick-connect/q20/q20.page.intl.ts","data/resources/fitting-replacement/fittings/quick-connect/q20/q20.page.intl.ts 第 409 行","确认该产品数据是否缺少主图字段；补图前暂不发布"
"98","SM-100-PEEK 微型柱塞泵","","SM-100-PEEK","sm-100-peek","泵类 / Pumps","未配置主图字段","","","","data/products/detail/plunger-pump-detail.generated.ts","data/products/detail/plunger-pump-detail.generated.ts 第 2010 行","确认该产品数据是否缺少主图字段；补图前暂不发布"
"99","SM-100-PMMA 微型柱塞泵","","SM-100-PMMA","sm-100-pmma","泵类 / Pumps","未配置主图字段","","","","data/products/detail/plunger-pump-detail.generated.ts","data/products/detail/plunger-pump-detail.generated.ts 第 1889 行","确认该产品数据是否缺少主图字段；补图前暂不发布"
"100","SM-1000-PMMA 微型柱塞泵","","SM-1000-PMMA","sm-1000-pmma","泵类 / Pumps","未配置主图字段","","","","data/products/detail/plunger-pump-detail.generated.ts","data/products/detail/plunger-pump-detail.generated.ts 第 2494 行","确认该产品数据是否缺少主图字段；补图前暂不发布"
"101","SM-250-PEEK 微型柱塞泵","","SM-250-PEEK","sm-250-peek","泵类 / Pumps","未配置主图字段","","","","data/products/detail/plunger-pump-detail.generated.ts","data/products/detail/plunger-pump-detail.generated.ts 第 2252 行","确认该产品数据是否缺少主图字段；补图前暂不发布"
"102","SM-250-PMMA 微型柱塞泵","","SM-250-PMMA","sm-250-pmma","泵类 / Pumps","未配置主图字段","","","","data/products/detail/plunger-pump-detail.generated.ts","data/products/detail/plunger-pump-detail.generated.ts 第 2131 行","确认该产品数据是否缺少主图字段；补图前暂不发布"
"103","SM-50-PMMA 微型柱塞泵","","SM-50-PMMA","sm-50-pmma","泵类 / Pumps","未配置主图字段","","","","data/products/detail/plunger-pump-detail.generated.ts","data/products/detail/plunger-pump-detail.generated.ts 第 1768 行","确认该产品数据是否缺少主图字段；补图前暂不发布"
"104","SM-500-PMMA 微型柱塞泵","","SM-500-PMMA","sm-500-pmma","泵类 / Pumps","未配置主图字段","","","","data/products/detail/plunger-pump-detail.generated.ts","data/products/detail/plunger-pump-detail.generated.ts 第 2373 行","确认该产品数据是否缺少主图字段；补图前暂不发布"
"105","TM-100-PMMA 超微型柱塞泵","","TM-100-PMMA","tm-100-pmma","泵类 / Pumps","未配置主图字段","","","","data/products/detail/plunger-pump-detail.generated.ts","data/products/detail/plunger-pump-detail.generated.ts 第 2736 行","确认该产品数据是否缺少主图字段；补图前暂不发布"
"106","TM-250-PMMA 超微型柱塞泵","","TM-250-PMMA","tm-250-pmma","泵类 / Pumps","未配置主图字段","","","","data/products/detail/plunger-pump-detail.generated.ts","data/products/detail/plunger-pump-detail.generated.ts 第 2857 行","确认该产品数据是否缺少主图字段；补图前暂不发布"
"107","TM-50-PMMA 超微型柱塞泵","","TM-50-PMMA","tm-50-pmma","泵类 / Pumps","未配置主图字段","","","","data/products/detail/plunger-pump-detail.generated.ts","data/products/detail/plunger-pump-detail.generated.ts 第 2615 行","确认该产品数据是否缺少主图字段；补图前暂不发布"
"108","TM-500-PMMA 超微型柱塞泵","","TM-500-PMMA","tm-500-pmma","泵类 / Pumps","未配置主图字段","","","","data/products/detail/plunger-pump-detail.generated.ts","data/products/detail/plunger-pump-detail.generated.ts 第 2978 行","确认该产品数据是否缺少主图字段；补图前暂不发布"
"109","单向阀 膜片式 CV-BE-24-PP-N 129004","","CV-BE-24-PP-N","","单向阀","未配置主图字段","","","","reports/filter-check-valve-authoritative-data-audit.json","reports/filter-check-valve-authoritative-data-audit.json $.products[36]","确认该产品数据是否缺少主图字段；补图前暂不发布"
"110","单向阀 膜片式 CV-BE-32-PP-N 129001","","CV-BE-32-PP-N","","单向阀","未配置主图字段","","","","reports/filter-check-valve-authoritative-data-audit.json","reports/filter-check-valve-authoritative-data-audit.json $.products[33]","确认该产品数据是否缺少主图字段；补图前暂不发布"
"111","单向阀 膜片式 CV-BE-32-PV-N 129002","","CV-BE-32-PV-N","","单向阀","未配置主图字段","","","","reports/filter-check-valve-authoritative-data-audit.json","reports/filter-check-valve-authoritative-data-audit.json $.products[34]","确认该产品数据是否缺少主图字段；补图前暂不发布"
"112","单向阀 膜片式 CV-BE-64-PP-N 126012","","CV-BE-64-PP-N","","单向阀","未配置主图字段","","","","reports/filter-check-valve-authoritative-data-audit.json","reports/filter-check-valve-authoritative-data-audit.json $.products[25]","确认该产品数据是否缺少主图字段；补图前暂不发布"
"113","单向阀 膜片式 CV-BE-79-PP-N 126014","","CV-BE-79-PP-N","","单向阀","未配置主图字段","","","","reports/filter-check-valve-authoritative-data-audit.json","reports/filter-check-valve-authoritative-data-audit.json $.products[27]","确认该产品数据是否缺少主图字段；补图前暂不发布"
"114","单向阀 膜片式 CV-BE-95-PP-N 126016","","CV-BE-95-PP-N","","单向阀","未配置主图字段","","","","reports/filter-check-valve-authoritative-data-audit.json","reports/filter-check-valve-authoritative-data-audit.json $.products[28]","确认该产品数据是否缺少主图字段；补图前暂不发布"
"115","单向阀 膜片式 CV-BF-16-PV-N 126025","","CV-BF-16-PV-N","","单向阀","未配置主图字段","","","","reports/filter-check-valve-authoritative-data-audit.json","reports/filter-check-valve-authoritative-data-audit.json $.products[29]","确认该产品数据是否缺少主图字段；补图前暂不发布"
"116","单向阀 膜片式 CV-BF-32-PP-B 129005","","CV-BF-32-PP-B","","单向阀","未配置主图字段","","","","reports/filter-check-valve-authoritative-data-audit.json","reports/filter-check-valve-authoritative-data-audit.json $.products[37]","确认该产品数据是否缺少主图字段；补图前暂不发布"
"117","单向阀 膜片式 CV-BF-32-PP-N 129003","","CV-BF-32-PP-N","","单向阀","未配置主图字段","","","","reports/filter-check-valve-authoritative-data-audit.json","reports/filter-check-valve-authoritative-data-audit.json $.products[35]","确认该产品数据是否缺少主图字段；补图前暂不发布"
"118","单向阀 膜片式 CV-BV-32-PP-N 126007","","CV-BV-32-PP-N","","单向阀","未配置主图字段","","","","reports/filter-check-valve-authoritative-data-audit.json","reports/filter-check-valve-authoritative-data-audit.json $.products[22]","确认该产品数据是否缺少主图字段；补图前暂不发布"
"119","单向阀 膜片式 CV-BV-48-PP-N 126009","","CV-BV-48-PP-N","","单向阀","未配置主图字段","","","","reports/filter-check-valve-authoritative-data-audit.json","reports/filter-check-valve-authoritative-data-audit.json $.duplicateModels[3][0] | reports/filter-check-valve-authoritative-data-audit.json $.duplicateModels[3][1] | reports/filter-check-valve-authoritative-data-audit.json $.products[23] | reports/filter-check-valve-authoritative-data-audit.json $.products[32]","确认该产品数据是否缺少主图字段；补图前暂不发布"
"120","单向阀 膜片式 CV-BV-64-PP-N 126011","","CV-BV-64-PP-N","","单向阀","未配置主图字段","","","","reports/filter-check-valve-authoritative-data-audit.json","reports/filter-check-valve-authoritative-data-audit.json $.products[24]","确认该产品数据是否缺少主图字段；补图前暂不发布"
"121","单向阀 膜片式 CV-BV-79-PP-N 126013","","CV-BV-79-PP-N","","单向阀","未配置主图字段","","","","reports/filter-check-valve-authoritative-data-audit.json","reports/filter-check-valve-authoritative-data-audit.json $.products[26]","确认该产品数据是否缺少主图字段；补图前暂不发布"
"122","单向阀 鸭嘴式 CV-DE-16-PV-N 126006","","CV-DE-16-PV-N","","单向阀","未配置主图字段","","","","reports/filter-check-valve-authoritative-data-audit.json","reports/filter-check-valve-authoritative-data-audit.json $.products[21]","确认该产品数据是否缺少主图字段；补图前暂不发布"
"123","单向阀 鸭嘴式 CV-DE-24-PV-N 126026","","CV-DE-24-PV-N","","单向阀","未配置主图字段","","","","reports/filter-check-valve-authoritative-data-audit.json","reports/filter-check-valve-authoritative-data-audit.json $.products[30]","确认该产品数据是否缺少主图字段；补图前暂不发布"
"124","单向阀 鸭嘴式 CV-DE-32-PV-N 126027","","CV-DE-32-PV-N","","单向阀","未配置主图字段","","","","reports/filter-check-valve-authoritative-data-audit.json","reports/filter-check-valve-authoritative-data-audit.json $.products[31]","确认该产品数据是否缺少主图字段；补图前暂不发布"
"125","水循环过滤器组件 78x46 PP 本色 139010","","","","过滤器","未配置主图字段","","","","reports/filter-check-valve-authoritative-data-audit.json","reports/filter-check-valve-authoritative-data-audit.json $.missingModels[1] | reports/filter-check-valve-authoritative-data-audit.json $.products[20]","确认该产品数据是否缺少主图字段；补图前暂不发布"
"126","水循环过滤器组件 86x48.8 POM 139009","","","","过滤器","未配置主图字段","","","","reports/filter-check-valve-authoritative-data-audit.json","reports/filter-check-valve-authoritative-data-audit.json $.missingModels[0] | reports/filter-check-valve-authoritative-data-audit.json $.products[19]","确认该产品数据是否缺少主图字段；补图前暂不发布"
"127","过滤器 F-PA-150-32-PP-N 139012","","F-PA-150-32-PP-N","","过滤器","未配置主图字段","","","","reports/filter-check-valve-authoritative-data-audit.json","reports/filter-check-valve-authoritative-data-audit.json $.products[8]","确认该产品数据是否缺少主图字段；补图前暂不发布"
"128","过滤器 F-PA-250-32D-PA-N 139014","","F-PA-250-32D-PA-N","","过滤器","未配置主图字段","","","","reports/filter-check-valve-authoritative-data-audit.json","reports/filter-check-valve-authoritative-data-audit.json $.products[9]","确认该产品数据是否缺少主图字段；补图前暂不发布"
"129","过滤器 F-PE-10-24-PP-N 136009","","F-PE-10-24-PP-N","","过滤器","未配置主图字段","","","","reports/filter-check-valve-authoritative-data-audit.json","reports/filter-check-valve-authoritative-data-audit.json $.products[3]","确认该产品数据是否缺少主图字段；补图前暂不发布"
"130","过滤器 F-PE-100-32-PP-N 139001","","F-PE-100-32-PP-N","","过滤器","未配置主图字段","","","","reports/filter-check-valve-authoritative-data-audit.json","reports/filter-check-valve-authoritative-data-audit.json $.products[5]","确认该产品数据是否缺少主图字段；补图前暂不发布"
"131","过滤器 F-PE-100-32-PV-N 139002","","F-PE-100-32-PV-N","","过滤器","未配置主图字段","","","","reports/filter-check-valve-authoritative-data-audit.json","reports/filter-check-valve-authoritative-data-audit.json $.products[6]","确认该产品数据是否缺少主图字段；补图前暂不发布"
"132","过滤器 F-PE-60-32-PP-N 139003","","F-PE-60-32-PP-N","","过滤器","未配置主图字段","","","","reports/filter-check-valve-authoritative-data-audit.json","reports/filter-check-valve-authoritative-data-audit.json $.products[7]","确认该产品数据是否缺少主图字段；补图前暂不发布"
"133","水循环过滤器 F-SS-150-127-AC-N 139005","","F-SS-150-127-AC-N","","过滤器","未配置主图字段","","","","reports/filter-check-valve-authoritative-data-audit.json","reports/filter-check-valve-authoritative-data-audit.json $.products[10]","确认该产品数据是否缺少主图字段；补图前暂不发布"
"134","水循环过滤器 F-SS-150-127-PP-N 139007","","F-SS-150-127-PP-N","","过滤器","未配置主图字段","","","","reports/filter-check-valve-authoritative-data-audit.json","reports/filter-check-valve-authoritative-data-audit.json $.products[12]","确认该产品数据是否缺少主图字段；补图前暂不发布"
"135","水循环过滤器 F-SS-150-127D-AC-N 139006","","F-SS-150-127D-AC-N","","过滤器","未配置主图字段","","","","reports/filter-check-valve-authoritative-data-audit.json","reports/filter-check-valve-authoritative-data-audit.json $.products[11]","确认该产品数据是否缺少主图字段；补图前暂不发布"
"136","水循环过滤器 F-SS-150-127D-PP-N 139008","","F-SS-150-127D-PP-N","","过滤器","未配置主图字段","","","","reports/filter-check-valve-authoritative-data-audit.json","reports/filter-check-valve-authoritative-data-audit.json $.duplicateModels[1][0] | reports/filter-check-valve-authoritative-data-audit.json $.duplicateModels[1][1] | reports/filter-check-valve-authoritative-data-audit.json $.duplicateProductIds[1][0] | reports/filter-check-valve-authoritative-data-audit.json $.duplicateProductIds[1][1] | reports/filter-check-valve-authoritative-data-audit.json $.products[13] | reports/filter-check-valve-authoritative-data-audit.json $.products[17]","确认该产品数据是否缺少主图字段；补图前暂不发布"
"137","水循环过滤器 F-SS-150-191-PP-N 139015","","F-SS-150-191-PP-N","","过滤器","未配置主图字段","","","","reports/filter-check-valve-authoritative-data-audit.json","reports/filter-check-valve-authoritative-data-audit.json $.products[16]","确认该产品数据是否缺少主图字段；补图前暂不发布"
"138","水循环过滤器 F-SS-150-79D-PP-N 139011","","F-SS-150-79D-PP-N","","过滤器","未配置主图字段","","","","reports/filter-check-valve-authoritative-data-audit.json","reports/filter-check-valve-authoritative-data-audit.json $.products[14]","确认该产品数据是否缺少主图字段；补图前暂不发布"
"139","水循环过滤器 F-SS-150-95D-PP-N 139013","","F-SS-150-95D-PP-N","","过滤器","未配置主图字段","","","","reports/filter-check-valve-authoritative-data-audit.json","reports/filter-check-valve-authoritative-data-audit.json $.duplicateModels[2][0] | reports/filter-check-valve-authoritative-data-audit.json $.duplicateModels[2][1] | reports/filter-check-valve-authoritative-data-audit.json $.products[15] | reports/filter-check-valve-authoritative-data-audit.json $.products[18]","确认该产品数据是否缺少主图字段；补图前暂不发布"
"140","过滤器 G-178-32-PA-V 136005","","G-178-32-PA-V","","过滤器","未配置主图字段","","","","reports/filter-check-valve-authoritative-data-audit.json","reports/filter-check-valve-authoritative-data-audit.json $.products[2]","确认该产品数据是否缺少主图字段；补图前暂不发布"
"141","过滤器 G-178-48-PA-V 136004","","G-178-48-PA-V","","过滤器","未配置主图字段","","","","reports/filter-check-valve-authoritative-data-audit.json","reports/filter-check-valve-authoritative-data-audit.json $.products[1]","确认该产品数据是否缺少主图字段；补图前暂不发布"
"142","过滤器 G-178-64-PA-V 136003","","G-178-64-PA-V","","过滤器","未配置主图字段","","","","reports/filter-check-valve-authoritative-data-audit.json","reports/filter-check-valve-authoritative-data-audit.json $.duplicateModels[0][0] | reports/filter-check-valve-authoritative-data-audit.json $.duplicateModels[0][1] | reports/filter-check-valve-authoritative-data-audit.json $.duplicateProductIds[0][0] | reports/filter-check-valve-authoritative-data-audit.json $.duplicateProductIds[0][1] | reports/filter-check-valve-authoritative-data-audit.json $.products[0] | reports/filter-check-valve-authoritative-data-audit.json $.products[4]","确认该产品数据是否缺少主图字段；补图前暂不发布"
"143","DPGL800 无刷气液混合隔膜泵｜6 L/min｜FOREACH","","","dpgl800-brushless-gas-liquid-diaphragm-pump","配置预留页","未配置主图字段","","","","data/products/generated/pumps/diaphragm-pumps/detail/dpgl800-gas-liquid-diaphragm-pump.json | data/products/generated/pumps/diaphragm-pumps/detail/index.json","data/products/generated/pumps/diaphragm-pumps/detail/dpgl800-gas-liquid-diaphragm-pump.json $.seo | data/products/generated/pumps/diaphragm-pumps/detail/index.json $[3].seo | data/products/generated/pumps/diaphragm-pumps/detail/index.json $[10].seo | data/products/generated/pumps/diaphragm-pumps/detail/index.json $[11].seo","确认该产品数据是否缺少主图字段；补图前暂不发布"
"144","DPL30 无刷液体隔膜泵｜300 mL/min 100 kPa｜FOREACH","","","dpl30-brushless-liquid-diaphragm-pump","配置预留页","未配置主图字段","","","","data/products/generated/pumps/diaphragm-pumps/detail/dpl30-liquid-diaphragm-pump.json | data/products/generated/pumps/diaphragm-pumps/detail/index.json","data/products/generated/pumps/diaphragm-pumps/detail/dpl30-liquid-diaphragm-pump.json $.seo | data/products/generated/pumps/diaphragm-pumps/detail/index.json $[0].seo | data/products/generated/pumps/diaphragm-pumps/detail/index.json $[4].seo | data/products/generated/pumps/diaphragm-pumps/detail/index.json $[5].seo","确认该产品数据是否缺少主图字段；补图前暂不发布"
"145","DPL30H 无刷液体隔膜泵｜300 mL/min 600 kPa｜FOREACH","","","dpl30h-brushless-liquid-diaphragm-pump","配置预留页","未配置主图字段","","","","data/products/generated/pumps/diaphragm-pumps/detail/dpl30h-liquid-diaphragm-pump.json | data/products/generated/pumps/diaphragm-pumps/detail/index.json","data/products/generated/pumps/diaphragm-pumps/detail/dpl30h-liquid-diaphragm-pump.json $.seo | data/products/generated/pumps/diaphragm-pumps/detail/index.json $[2].seo | data/products/generated/pumps/diaphragm-pumps/detail/index.json $[8].seo | data/products/generated/pumps/diaphragm-pumps/detail/index.json $[9].seo","确认该产品数据是否缺少主图字段；补图前暂不发布"
"146","DPL60 无刷液体隔膜泵｜600 mL/min 100 kPa｜FOREACH","","","dpl60-brushless-liquid-diaphragm-pump","配置预留页","未配置主图字段","","","","data/products/generated/pumps/diaphragm-pumps/detail/dpl60-liquid-diaphragm-pump.json | data/products/generated/pumps/diaphragm-pumps/detail/index.json","data/products/generated/pumps/diaphragm-pumps/detail/dpl60-liquid-diaphragm-pump.json $.seo | data/products/generated/pumps/diaphragm-pumps/detail/index.json $[1].seo | data/products/generated/pumps/diaphragm-pumps/detail/index.json $[6].seo | data/products/generated/pumps/diaphragm-pumps/detail/index.json $[7].seo","确认该产品数据是否缺少主图字段；补图前暂不发布"
"147","DPGL800-24BS6-EP/PS 气液混合隔膜泵","","","dpgl800-24bs6-ep-ps-gas-liquid-diaphragm-pump","气液混合隔膜泵","未配置主图字段","","","","data/products/generated/pumps/diaphragm-pumps/detail/index.json","data/products/generated/pumps/diaphragm-pumps/detail/index.json $[10]","确认该产品数据是否缺少主图字段；补图前暂不发布"
"148","","","DPGL800-24BS6-EP/PS","","气液混合隔膜泵","未配置主图字段","","","","data/products/generated/pumps/diaphragm-pumps/detail/dpgl800-gas-liquid-diaphragm-pump.json | data/products/generated/pumps/diaphragm-pumps/detail/index.json","data/products/generated/pumps/diaphragm-pumps/detail/dpgl800-gas-liquid-diaphragm-pump.json $.modelConfigurations[0] | data/products/generated/pumps/diaphragm-pumps/detail/index.json $[3].modelConfigurations[0] | data/products/generated/pumps/diaphragm-pumps/detail/index.json $[10].modelConfigurations[0]","确认该产品数据是否缺少主图字段；补图前暂不发布"
"149","DPGL800-24BS6-EP/PS","","","","气液混合隔膜泵","未配置主图字段","","","","data/products/generated/pumps/diaphragm-pumps/selection/cards.json","data/products/generated/pumps/diaphragm-pumps/selection/cards.json $[6]","确认该产品数据是否缺少主图字段；补图前暂不发布"
"150","DPGL800-24BS6-FF/PS 气液混合隔膜泵","","","dpgl800-24bs6-ff-ps-gas-liquid-diaphragm-pump","气液混合隔膜泵","未配置主图字段","","","","data/products/generated/pumps/diaphragm-pumps/detail/index.json","data/products/generated/pumps/diaphragm-pumps/detail/index.json $[11]","确认该产品数据是否缺少主图字段；补图前暂不发布"
"151","","","DPGL800-24BS6-FF/PS","","气液混合隔膜泵","未配置主图字段","","","","data/products/generated/pumps/diaphragm-pumps/detail/dpgl800-gas-liquid-diaphragm-pump.json | data/products/generated/pumps/diaphragm-pumps/detail/index.json","data/products/generated/pumps/diaphragm-pumps/detail/dpgl800-gas-liquid-diaphragm-pump.json $.modelConfigurations[1] | data/products/generated/pumps/diaphragm-pumps/detail/index.json $[3].modelConfigurations[1] | data/products/generated/pumps/diaphragm-pumps/detail/index.json $[11].modelConfigurations[0]","确认该产品数据是否缺少主图字段；补图前暂不发布"
